Date,VXUS,SPY,VT
2011-01-28,33.97168731689453,100.52674102783203,36.05040740966797
2011-01-31,34.350460052490234,101.28236389160156,36.38824462890625
2011-02-01,35.08732986450195,102.9037857055664,37.09394454956055
2011-02-02,34.90827178955078,102.70698547363281,37.01136016845703
2011-02-03,34.97024154663086,102.93521118164062,37.056396484375
2011-02-04,34.949588775634766,103.2264404296875,37.10143280029297
2011-02-07,35.04601287841797,103.87185668945312,37.19902801513672
2011-02-08,35.10111618041992,104.34410858154297,37.386722564697266
2011-02-09,34.88760757446289,104.10797882080078,37.146488189697266
2011-02-10,34.563941955566406,104.14737701416016,36.94378662109375
2011-02-11,34.69478225708008,104.7691650390625,37.1614990234375
2011-02-14,34.777427673339844,105.02100372314453,37.2515983581543
2011-02-15,34.667240142822266,104.6904067993164,37.169010162353516
2011-02-16,35.10111618041992,105.35162353515625,37.44678497314453
2011-02-17,35.245723724365234,105.66642761230469,37.65699005126953
2011-02-18,35.30770492553711,105.88680267333984,37.77711868286133
2011-02-22,34.426212310791016,103.7616958618164,36.81616973876953
2011-02-23,34.39177322387695,103.12415313720703,36.711055755615234
2011-02-24,34.43998718261719,103.05326843261719,36.76361846923828
2011-02-25,34.83251953125,104.15518951416016,37.15399932861328
2011-02-28,35.14931106567383,104.80059051513672,37.454288482666016
2011-03-01,34.7498779296875,103.05326843261719,36.95130157470703
2011-03-02,35.00468826293945,103.2737045288086,37.15399932861328
2011-03-03,35.41099548339844,105.05250549316406,37.71704864501953
2011-03-04,35.17685317993164,104.26538848876953,37.431766510009766
2011-03-07,34.94271469116211,103.44683837890625,37.169010162353516
2011-03-08,35.066654205322266,104.35199737548828,37.37169647216797
2011-03-09,35.02536392211914,104.2024154663086,37.31165313720703
2011-03-10,34.15763854980469,102.27405548095703,36.463314056396484
2011-03-11,34.281593322753906,102.98243713378906,36.598453521728516
2011-03-14,33.7857551574707,102.36064910888672,36.28314971923828
2011-03-15,33.193504333496094,101.18790435791016,35.622501373291016
2011-03-16,32.27070236206055,99.31462860107422,34.79668045043945
2011-03-17,33.097103118896484,100.62904357910156,35.56993865966797
2011-03-18,33.6067008972168,100.9950942993164,35.85521697998047
2011-03-21,34.32979965209961,102.56027221679688,36.56842041015625
2011-03-22,34.247161865234375,102.20454406738281,36.49333953857422
2011-03-23,34.39865493774414,102.49702453613281,36.545902252197266
2011-03-24,34.74300765991211,103.47725677490234,37.018863677978516
2011-03-25,34.522613525390625,103.79344940185547,36.95130157470703
2011-03-28,34.36423873901367,103.54048919677734,36.84619140625
2011-03-29,34.63969802856445,104.23615264892578,37.10894775390625
2011-03-30,35.10111618041992,104.95550537109375,37.47681427001953
2011-03-31,35.05978775024414,104.813232421875,37.431766510009766
2011-04-01,35.36968994140625,105.25587463378906,37.73957061767578
2011-04-04,35.555625915527344,105.3428726196289,37.79962921142578
2011-04-05,35.417884826660156,105.32701873779297,37.79962921142578
2011-04-06,35.67958450317383,105.65906524658203,37.98731994628906
2011-04-07,35.500518798828125,105.39028930664062,37.85969924926758
2011-04-08,35.76910400390625,105.02666473388672,37.897220611572266
2011-04-11,35.5487174987793,104.71044158935547,37.78461456298828
2011-04-12,35.21128845214844,103.9278564453125,37.4017448425293
2011-04-13,35.35590362548828,103.91997528076172,37.4618034362793
2011-04-14,35.438541412353516,103.9990005493164,37.589420318603516
2011-04-15,35.417884826660156,104.3784408569336,37.60443878173828
2011-04-18,34.78431701660156,103.2084732055664,36.95130157470703
2011-04-19,35.10111618041992,103.80137634277344,37.28162384033203
2011-04-20,35.927494049072266,105.21640014648438,37.99482727050781
2011-04-21,36.07899475097656,105.75389862060547,38.25758743286133
2011-04-25,36.05145263671875,105.64323425292969,38.220035552978516
2011-04-26,36.333805084228516,106.55231475830078,38.4827995300293
2011-04-27,36.643699645996094,107.24797821044922,38.80561828613281
2011-04-28,36.712562561035156,107.59581756591797,38.89570999145508
2011-04-29,36.877838134765625,107.84877014160156,39.06087112426758
2011-05-02,36.81587600708008,107.68277740478516,38.94826126098633
2011-05-03,36.4439811706543,107.29539489746094,38.65547180175781
2011-05-04,36.0583381652832,106.58397674560547,38.28010940551758
2011-05-05,35.417884826660156,105.61954498291016,37.73957061767578
2011-05-06,35.555625915527344,106.08592224121094,37.912227630615234
2011-05-09,35.75532531738281,106.49701690673828,38.11492919921875
2011-05-10,36.08588790893555,107.40605163574219,38.52785873413086
2011-05-11,35.43165969848633,106.27565002441406,37.8521728515625
2011-05-12,35.56249237060547,106.7815933227539,37.88221740722656
2011-05-13,34.97024154663086,105.95942687988281,37.43928146362305
2011-05-16,34.87383270263672,105.2874984741211,37.31165313720703
2011-05-17,34.94271469116211,105.27172088623047,37.42426300048828
2011-05-18,35.30770492553711,106.21240234375,37.7470703125
2011-05-19,35.362789154052734,106.46539306640625,37.82966232299805
2011-05-20,34.98402404785156,105.61954498291016,37.431766510009766
2011-05-23,34.32979965209961,104.39421844482422,36.786136627197266
2011-05-24,34.50884246826172,104.3072738647461,36.906246185302734
2011-05-25,34.68101501464844,104.65510559082031,37.116455078125
2011-05-26,34.98402404785156,105.1373291015625,37.386722564697266
2011-05-27,35.245723724365234,105.54048919677734,37.63447952270508
2011-05-31,35.76910400390625,106.63926696777344,38.17498779296875
2011-06-01,35.08732986450195,104.2440414428711,37.37169647216797
2011-06-02,35.26637649536133,104.13338470458984,37.4167594909668
2011-06-03,35.1975212097168,103.09781646728516,37.296630859375
2011-06-06,34.756778717041016,102.00692749023438,36.786136627197266
2011-06-07,35.04601287841797,101.94367980957031,36.95130157470703
