Date,0050.TW
2008-01-02,43.618186950683594
2008-01-03,42.80413055419922
2008-01-04,42.8913459777832
2008-01-07,40.987003326416016
2008-01-08,41.41584777832031
2008-01-09,42.3026008605957
2008-01-10,41.902828216552734
2008-01-11,41.77199935913086
2008-01-14,42.491573333740234
2008-01-15,43.807167053222656
2008-01-16,42.3825569152832
2008-01-17,42.08454513549805
2008-01-18,42.40435791015625
2008-01-21,41.91736602783203
2008-01-22,39.191680908203125
2008-01-23,38.850067138671875
2008-01-24,39.63506317138672
2008-01-25,40.819828033447266
2008-01-28,39.45335006713867
2008-01-29,40.129310607910156
2008-01-30,39.95487976074219
2008-01-31,40.04936599731445
2008-02-01,40.725337982177734
2008-02-12,39.940338134765625
2008-02-13,40.07843780517578
2008-02-14,41.81561279296875
2008-02-15,41.76472854614258
2008-02-18,41.5684814453125
2008-02-19,42.20083999633789
2008-02-20,41.55394744873047
2008-02-21,42.5569953918457
2008-02-22,42.709632873535156
2008-02-25,43.64727020263672
2008-02-26,43.91619873046875
2008-02-27,44.59943771362305
2008-02-29,43.95254898071289
2008-03-03,43.022178649902344
2008-03-04,44.11972427368164
2008-03-05,44.163326263427734
2008-03-06,45.34809875488281
2008-03-07,44.65031814575195
2008-03-10,43.26203918457031
2008-03-11,43.661800384521484
2008-03-12,44.01069641113281
2008-03-13,42.88407516479492
2008-03-14,42.56426239013672
2008-03-17,41.655704498291016
2008-03-18,41.851951599121094
2008-03-19,42.68782043457031
2008-03-20,43.458290100097656
2008-03-21,44.65031814575195
2008-03-24,46.43109893798828
2008-03-25,46.04587173461914
2008-03-26,45.798736572265625
2008-03-27,44.628517150878906
2008-03-28,44.50495147705078
2008-03-31,44.20694351196289
2008-04-01,43.50917053222656
2008-04-02,44.68666076660156
2008-04-03,44.635780334472656
2008-04-07,45.21726608276367
2008-04-08,44.919254302978516
2008-04-09,44.795692443847656
2008-04-10,45.68971633911133
2008-04-11,46.26393127441406
2008-04-14,45.95138168334961
2008-04-15,45.987728118896484
2008-04-16,46.7436408996582
2008-04-17,47.06346130371094
2008-04-18,46.82359313964844
2008-04-21,47.048919677734375
2008-04-22,46.68549346923828
2008-04-23,46.23484802246094
2008-04-24,46.08221435546875
2008-04-25,46.024070739746094
2008-04-28,47.00531005859375
2008-04-29,45.95138168334961
2008-04-30,46.19850540161133
2008-05-02,46.43109893798828
2008-05-05,45.573429107666016
2008-05-06,45.82054901123047
2008-05-07,46.08948516845703
2008-05-08,45.587955474853516
2008-05-09,45.122772216796875
2008-05-12,45.44985580444336
2008-05-13,46.423831939697266
2008-05-14,46.554664611816406
2008-05-15,47.274253845214844
2008-05-16,47.44868469238281
2008-05-19,47.812110900878906
2008-05-20,46.554664611816406
2008-05-21,46.10401916503906
2008-05-22,46.11128616333008
2008-05-23,45.23180389404297
2008-05-26,44.795692443847656
2008-05-27,45.166378021240234
2008-05-28,44.737545013427734
2008-05-29,44.98467254638672
2008-05-30,44.86837387084961
2008-06-02,45.60976028442383
2008-06-03,44.664852142333984
2008-06-04,44.89017868041992
2008-06-05,45.44257354736328
2008-06-06,45.420780181884766
2008-06-09,44.43226623535156
2008-06-10,43.298377990722656
2008-06-11,43.60365676879883
2008-06-12,42.40435791015625
2008-06-13,42.6369514465332
2008-06-16,42.993106842041016
2008-06-17,43.13847351074219
2008-06-18,43.1748161315918
2008-06-19,42.2226448059082
2008-06-20,41.575748443603516
2008-06-23,41.64115905761719
2008-06-24,41.023345947265625
2008-06-25,41.78652572631836
2008-06-26,41.42311477661133
2008-06-27,40.136592864990234
2008-06-30,40.281951904296875
2008-07-01,39.83857727050781
2008-07-02,39.286170959472656
2008-07-03,39.111732482910156
2008-07-04,38.283119201660156
2008-07-07,38.930015563964844
2008-07-08,37.519927978515625
2008-07-09,37.3672981262207
2008-07-10,37.44724655151367
2008-07-11,38.44303512573242
2008-07-14,37.83974075317383
2008-07-15,36.146183013916016
2008-07-16,35.93539810180664
2008-07-17,37.74525833129883
2008-07-18,37.0329475402832
2008-07-21,38.6538200378418
2008-07-22,38.32673263549805
2008-07-23,39.431549072265625
2008-07-24,39.84585189819336
2008-07-25,39.017242431640625
2008-07-29,37.69437789916992
2008-07-30,38.181365966796875
2008-07-31,38.07234191894531
2008-08-01,38.0796012878418
2008-08-04,38.028724670410156
2008-08-05,37.221927642822266
2008-08-06,38.632022857666016
2008-08-07,38.66835403442383
2008-08-08,39.8167724609375
2008-08-11,40.47821044921875
2008-08-12,40.3909912109375
2008-08-13,40.27468490600586
2008-08-14,40.34010696411133
2008-08-15,39.685943603515625
2008-08-18,38.6392822265625
2008-08-19,38.42849349975586
2008-08-20,38.82826232910156
2008-08-21,38.24678039550781
2008-08-22,38.30492401123047
2008-08-25,39.0535888671875
2008-08-26,38.755577087402344
2008-08-27,39.446075439453125
2008-08-28,39.00996780395508
2008-08-29,38.96636199951172
2008-09-01,37.52720260620117
2008-09-02,36.8076286315918
2008-09-03,36.50234603881836
2008-09-04,35.6446647644043
2008-09-05,35.208553314208984
2008-09-08,37.30914306640625
2008-09-09,36.0298957824707
2008-09-10,36.037166595458984
2008-09-11,34.98323440551758
2008-09-12,35.38299560546875
2008-09-15,34.02379608154297
2008-09-16,32.59916305541992
2008-09-17,33.2896728515625
2008-09-18,32.66458511352539
2008-09-19,34.61981201171875
2008-09-22,35.27397918701172
2008-09-23,35.52109909057617
2008-09-24,34.99776840209961
2008-09-25,34.597999572753906
2008-09-26,34.031063079833984
2008-09-30,32.79541778564453
2008-10-01,32.86810302734375
2008-10-02,32.330230712890625
